Assembly instruction,Category,
VPCOMPRESSQ,COMPRESS,
VPCOMPRESSQ,COMPRESS,
VPCOMPRESSQ,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCOMPRESSW,COMPRESS,
VPCONFLICTD,CONFLICT,
VPCONFLICTD,CONFLICT,
VPCONFLICTD,CONFLICT,
VPCONFLICTD,CONFLICT,
VPCONFLICTD,CONFLICT,
VPCONFLICTD,CONFLICT,
